summary_level	run_basename	scorable_ms2	interference_band	lower_inclusive_percent	upper_inclusive_percent	scan_count	fraction_of_scorable_ms2	median_interference_fraction	p10_interference_fraction	p25_interference_fraction	p75_interference_fraction	p90_interference_fraction
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	78465	0_to_under_10_percent	0.0	10.0	21330	0.271840948193	0.287023068224	0	0.0721897305397	0.486112560831	0.618078140671
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	78465	10_to_under_30_percent	10.0	30.0	19300	0.245969540559	0.287023068224	0	0.0721897305397	0.486112560831	0.618078140671
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	78465	30_to_under_50_percent	30.0	50.0	19568	0.249385076149	0.287023068224	0	0.0721897305397	0.486112560831	0.618078140671
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	78465	50_to_under_75_percent	50.0	75.0	16700	0.212833747531	0.287023068224	0	0.0721897305397	0.486112560831	0.618078140671
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	78465	75_to_100_percent	75.0	100.0	1567	0.0199706875677	0.287023068224	0	0.0721897305397	0.486112560831	0.618078140671
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	78300	0_to_under_10_percent	0.0	10.0	21178	0.270472541507	0.292049009658	0	0.0731777338155	0.488019035876	0.618356322145
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	78300	10_to_under_30_percent	10.0	30.0	18787	0.23993614304	0.292049009658	0	0.0731777338155	0.488019035876	0.618356322145
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	78300	30_to_under_50_percent	30.0	50.0	19962	0.254942528736	0.292049009658	0	0.0731777338155	0.488019035876	0.618356322145
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	78300	50_to_under_75_percent	50.0	75.0	16765	0.21411238825	0.292049009658	0	0.0731777338155	0.488019035876	0.618356322145
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	78300	75_to_100_percent	75.0	100.0	1608	0.0205363984674	0.292049009658	0	0.0731777338155	0.488019035876	0.618356322145
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	78093	0_to_under_10_percent	0.0	10.0	21029	0.269281497701	0.292909888042	0	0.0751075573045	0.489586568017	0.618841597312
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	78093	10_to_under_30_percent	10.0	30.0	18746	0.240047123302	0.292909888042	0	0.0751075573045	0.489586568017	0.618841597312
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	78093	30_to_under_50_percent	30.0	50.0	19855	0.254248140038	0.292909888042	0	0.0751075573045	0.489586568017	0.618841597312
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	78093	50_to_under_75_percent	50.0	75.0	16850	0.215768378728	0.292909888042	0	0.0751075573045	0.489586568017	0.618841597312
run	02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	78093	75_to_100_percent	75.0	100.0	1613	0.0206548602308	0.292909888042	0	0.0751075573045	0.489586568017	0.618841597312
single_group	single_group	234858	0_to_under_10_percent	0.0	10.0	63537	0.270533684184	0.290688715042	0	0.0734003842543	0.487907187989	0.618419065025
single_group	single_group	234858	10_to_under_30_percent	10.0	30.0	56833	0.241988776197	0.290688715042	0	0.0734003842543	0.487907187989	0.618419065025
single_group	single_group	234858	30_to_under_50_percent	30.0	50.0	59385	0.252854916588	0.290688715042	0	0.0734003842543	0.487907187989	0.618419065025
single_group	single_group	234858	50_to_under_75_percent	50.0	75.0	50315	0.214235836122	0.290688715042	0	0.0734003842543	0.487907187989	0.618419065025
single_group	single_group	234858	75_to_100_percent	75.0	100.0	4788	0.0203867869095	0.290688715042	0	0.0734003842543	0.487907187989	0.618419065025
