run_basename	scan_id	agreement_status	score_classification	spacer_interference_percent	pd_isolation_interference_percent	signed_difference_percent_points	absolute_difference_percent_points	pd_identified	pd_best_q_value	pd_raw_psm_count	competitor_count
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	76040	matched_finite	likely_chimeric	98.3563124056	2.065814	96.2904984056	96.2904984056	false		0	5
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	106839	matched_finite	low_interference	3.44355327467	97.27735	-93.8337967253	93.8337967253	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	75948	matched_finite	likely_chimeric	98.1673084522	5.407029	92.7602794522	92.7602794522	false		0	4
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R2	73651	matched_finite	likely_chimeric	96.4076839347	4.230662	92.1770219347	92.1770219347	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	73734	matched_finite	likely_chimeric	96.2867855107	4.3780394	91.9087461107	91.9087461107	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	73599	matched_finite	likely_chimeric	96.4768861954	5.1338744	91.3430117954	91.3430117954	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	73754	matched_finite	likely_chimeric	95.701860383	6.0902867	89.611573683	89.611573683	false		0	1
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	2824	matched_finite	low_interference	0	88.486626	-88.486626	88.486626	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	30838	matched_finite	low_interference	9.61788891462	97.56849	-87.9506010854	87.9506010854	false		0	2
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	73873	matched_finite	low_interference	0	87.762825	-87.762825	87.762825	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	102475	matched_finite	likely_chimeric	95.2788760478	7.6036754	87.6752006478	87.6752006478	true	8.07428368717e-05	1	3
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	85515	matched_finite	low_interference	0	87.593155	-87.593155	87.593155	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R1	107078	matched_finite	low_interference	0	87.3997	-87.3997	87.3997	false		0	0
02022026_SynComBench_QE1_180minGrad_100ulmin_5ug_SC1_R3	50061	matched_finite	likely_chimeric	95.7462220431	8.534346	87.2118760431	87.2118760431	true	8.07428368717e-05	2	2
